geoid10,district_id,place_fips,countya,statea,cbsa_code,cbsa_title,low_pop_flag,isolation_flag,m1_baseline_district_match,m2_crosswalk_match,m3_adj_match,pop_acs_2010_2014
39133600102,1,99999,133,39,10420,"Akron, OH",0,0,1,1,1,3677
39133600103,1,99999,133,39,10420,"Akron, OH",0,0,1,1,1,5913
39133600200,1,99999,133,39,10420,"Akron, OH",0,0,1,1,1,6115
39133600301,1,3086,133,39,10420,"Akron, OH",0,0,1,1,1,8743
39133600302,1,3086,133,39,10420,"Akron, OH",0,0,1,1,1,6825
39133600401,1,75014,133,39,10420,"Akron, OH",0,0,1,1,1,6226
39133600402,1,75014,133,39,10420,"Akron, OH",0,0,1,1,1,5383
39133600403,1,75014,133,39,10420,"Akron, OH",0,0,1,1,1,4701
39133600500,1,99999,133,39,10420,"Akron, OH",0,0,1,1,1,5646
39133600602,1,99999,133,39,10420,"Akron, OH",0,0,1,1,1,2828
39133600603,1,85946,133,39,10420,"Akron, OH",0,0,1,1,1,3535
39133600703,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,1824
39133600704,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,1672
39133600705,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,2576
39133600706,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,2919
39133600800,15,65592,133,39,10420,"Akron, OH",0,0,1,1,1,3303
39133600901,15,65592,133,39,10420,"Akron, OH",0,0,1,1,1,3814
39133600902,15,65592,133,39,10420,"Akron, OH",0,0,1,1,1,5479
39133601000,15,65592,133,39,10420,"Akron, OH",0,0,1,1,1,2458
39133601100,15,99999,133,39,10420,"Akron, OH",0,0,1,1,1,5699
39133601200,17,39872,133,39,10420,"Akron, OH",0,0,1,1,1,4367
39133601300,17,39872,133,39,10420,"Akron, OH",0,0,1,1,1,7831
39133601400,17,39872,133,39,10420,"Akron, OH",0,0,1,1,1,4997
39133601501,17,39872,133,39,10420,"Akron, OH",0,0,1,1,1,2413
39133601502,17,39872,133,39,10420,"Akron, OH",0,0,1,1,1,5960
39133601503,17,39872,133,39,10420,"Akron, OH",0,0,1,1,1,4642
39133601600,17,99999,133,39,10420,"Akron, OH",0,0,1,1,1,3900
39133601701,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,5646
39133601702,19,8826,133,39,10420,"Akron, OH",0,0,1,1,1,6094
39133601801,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,3878
39133601802,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,4311
39133601901,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,2716
39133601902,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,2809
39133602000,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,5283
39133602100,19,99999,133,39,10420,"Akron, OH",0,0,1,1,1,7370
39153501100,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1687
39153501700,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1480
39153501800,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,805
39153501900,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2477
39153502101,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2993
39153502102,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4366
39153502200,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5709
39153502300,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5145
39153502500,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,860
39153502600,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2974
39153502700,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,6489
39153502800,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4341
39153503100,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2157
39153503200,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2018
39153503300,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5284
39153503400,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1403
39153503500,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,3469
39153503600,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4159
39153503701,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5820
39153503702,18,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5918
39153503800,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,3945
39153504100,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1407
39153504200,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2311
39153504400,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1291
39153504500,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2226
39153504600,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,3432
39153504700,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4738
39153504800,2,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4746
39153505200,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1338
39153505300,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1452
39153505400,3,1000,153,39,10420,"Akron, OH",0,0,1,1,1,3550
39153505500,3,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2702
39153505600,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1270
39153505700,3,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2548
39153505800,3,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5131
39153505900,3,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2647
39153506100,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,5630
39153506200,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4058
39153506400,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,3071
39153506500,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2653
39153506600,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2802
39153506700,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1322
39153506800,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2147
39153507101,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4494
39153507102,5,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2697
39153507201,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2548
39153507202,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,3512
39153507203,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4791
39153507300,4,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2933
39153507400,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,980
39153507500,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,6294
39153507600,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4477
39153508000,5,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4549
39153508301,12,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2166
39153508399,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4883
39153508600,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,2933
39153508800,16,1000,153,39,10420,"Akron, OH",0,0,1,1,1,6303
39153508900,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,4531
39153509000,14,1000,153,39,10420,"Akron, OH",0,0,1,1,1,1752
39153510100,6,3828,153,39,10420,"Akron, OH",0,0,1,1,1,2711
39153510200,6,3828,153,39,10420,"Akron, OH",0,0,1,1,1,4224
39153510301,6,3828,153,39,10420,"Akron, OH",0,0,1,1,1,5257
39153510302,6,3828,153,39,10420,"Akron, OH",0,0,1,1,1,6058
39153510400,6,3828,153,39,10420,"Akron, OH",0,0,1,1,1,3718
39153510500,6,3828,153,39,10420,"Akron, OH",0,0,1,1,1,4369
39153520103,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,1891
39153520104,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,4623
39153520105,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,4164
39153520106,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,2700
39153520201,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,2834
39153520202,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,4454
39153520301,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,3477
39153520302,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,3390
39153520400,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,4724
39153520500,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,4473
39153520600,7,19778,153,39,10420,"Akron, OH",0,0,1,1,1,3502
39153530101,8,66152,153,39,10420,"Akron, OH",0,0,1,1,1,5415
39153530103,8,78050,153,39,10420,"Akron, OH",0,0,1,1,1,4616
39153530104,8,78050,153,39,10420,"Akron, OH",0,0,1,1,1,7287
39153530105,8,78078,153,39,10420,"Akron, OH",0,0,1,1,1,2174
39153530108,8,78050,153,39,10420,"Akron, OH",0,0,1,1,1,4569
39153530401,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,3585
39153530402,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,3381
39153530501,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,5420
39153530502,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,3415
39153530603,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,4664
39153530604,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,3453
39153530605,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,5133
39153530606,9,74944,153,39,10420,"Akron, OH",0,0,1,1,1,5690
39153530700,9,72494,153,39,10420,"Akron, OH",0,0,1,1,1,2520
39153530800,9,53312,153,39,10420,"Akron, OH",0,0,1,1,1,6514
39153530901,10,76106,153,39,10420,"Akron, OH",0,0,1,1,1,4629
39153530902,10,76106,153,39,10420,"Akron, OH",0,0,1,1,1,5986
39153530903,10,76106,153,39,10420,"Akron, OH",0,0,1,1,1,5154
39153531001,18,51058,153,39,10420,"Akron, OH",0,0,1,1,1,3449
39153531002,18,99999,153,39,10420,"Akron, OH",0,0,1,1,1,5861
39153531101,18,41454,153,39,10420,"Akron, OH",0,0,1,1,1,3447
39153531102,18,99999,153,39,10420,"Akron, OH",0,0,1,1,1,4256
39153531103,18,99999,153,39,10420,"Akron, OH",0,0,1,1,1,3216
39153531401,11,31860,153,39,10420,"Akron, OH",0,0,1,1,1,7159
39153531405,11,31860,153,39,10420,"Akron, OH",0,0,1,1,1,4444
39153531500,11,31860,153,39,10420,"Akron, OH",0,0,1,1,1,8371
39153531601,11,54562,153,39,10420,"Akron, OH",0,0,1,1,1,4455
39153531602,11,54562,153,39,10420,"Akron, OH",0,0,1,1,1,2977
39153531701,6,54562,153,39,10420,"Akron, OH",0,0,1,1,1,3632
39153531702,11,54562,153,39,10420,"Akron, OH",0,0,1,1,1,4564
39153531801,11,64136,153,39,10420,"Akron, OH",0,0,1,1,1,5291
39153531802,11,99999,153,39,10420,"Akron, OH",0,0,1,1,1,4690
39153532001,6,57260,153,39,10420,"Akron, OH",0,0,1,1,1,3661
